value,chindex,chlabel,bini,binlabel,SubjID
2.588,18,CP6,32,False_Alarms_Shape_2,S106
1.967,19,CP2,32,False_Alarms_Shape_2,S106
-0.536,20,CZ,32,False_Alarms_Shape_2,S106
2.439,21,C4,32,False_Alarms_Shape_2,S106
3.499,22,T8,32,False_Alarms_Shape_2,S106
2.022,23,FC6,32,False_Alarms_Shape_2,S106
0.822,24,FC2,32,False_Alarms_Shape_2,S106
1.283,25,F4,32,False_Alarms_Shape_2,S106
1.588,26,F8,32,False_Alarms_Shape_2,S106
2.773,27,FP2,32,False_Alarms_Shape_2,S106
1.168,1,FP1,33,Hits_Shape_3,S106
6.119,2,Fz,33,Hits_Shape_3,S106
5.580,3,F3,33,Hits_Shape_3,S106
1.209,4,F7,33,Hits_Shape_3,S106
3.732,5,FC5,33,Hits_Shape_3,S106
7.661,6,FC1,33,Hits_Shape_3,S106
6.285,7,C3,33,Hits_Shape_3,S106
1.192,8,T7,33,Hits_Shape_3,S106
4.275,9,CP5,33,Hits_Shape_3,S106
8.506,10,CP1,33,Hits_Shape_3,S106
9.502,11,Pz,33,Hits_Shape_3,S106
8.546,12,P3,33,Hits_Shape_3,S106
3.660,13,P7,33,Hits_Shape_3,S106
6.376,14,O1,33,Hits_Shape_3,S106
7.809,15,O2,33,Hits_Shape_3,S106
7.725,16,P4,33,Hits_Shape_3,S106
1.111,17,P8,33,Hits_Shape_3,S106
3.375,18,CP6,33,Hits_Shape_3,S106
8.460,19,CP2,33,Hits_Shape_3,S106
9.138,20,CZ,33,Hits_Shape_3,S106
7.306,21,C4,33,Hits_Shape_3,S106
0.335,22,T8,33,Hits_Shape_3,S106
2.771,23,FC6,33,Hits_Shape_3,S106
6.761,24,FC2,33,Hits_Shape_3,S106
2.441,25,F4,33,Hits_Shape_3,S106
0.268,26,F8,33,Hits_Shape_3,S106
0.971,27,FP2,33,Hits_Shape_3,S106
-7.881,1,FP1,34,Misses_Shape_3,S106
-8.861,2,Fz,34,Misses_Shape_3,S106
-8.599,3,F3,34,Misses_Shape_3,S106
-4.781,4,F7,34,Misses_Shape_3,S106
-6.625,5,FC5,34,Misses_Shape_3,S106
-8.175,6,FC1,34,Misses_Shape_3,S106
-8.004,7,C3,34,Misses_Shape_3,S106
-5.783,8,T7,34,Misses_Shape_3,S106
-4.652,9,CP5,34,Misses_Shape_3,S106
-7.230,10,CP1,34,Misses_Shape_3,S106
-3.778,11,Pz,34,Misses_Shape_3,S106
-2.328,12,P3,34,Misses_Shape_3,S106
0.429,13,P7,34,Misses_Shape_3,S106
1.566,14,O1,34,Misses_Shape_3,S106
2.869,15,O2,34,Misses_Shape_3,S106
-2.535,16,P4,34,Misses_Shape_3,S106
-1.668,17,P8,34,Misses_Shape_3,S106
-6.236,18,CP6,34,Misses_Shape_3,S106
-5.959,19,CP2,34,Misses_Shape_3,S106
-8.953,20,CZ,34,Misses_Shape_3,S106
-8.157,21,C4,34,Misses_Shape_3,S106
-6.119,22,T8,34,Misses_Shape_3,S106
-8.059,23,FC6,34,Misses_Shape_3,S106
-8.948,24,FC2,34,Misses_Shape_3,S106
-9.577,25,F4,34,Misses_Shape_3,S106
-6.935,26,F8,34,Misses_Shape_3,S106
-8.348,27,FP2,34,Misses_Shape_3,S106
-0.182,1,FP1,35,Correct_Rejections_Shape_3,S106
4.655,2,Fz,35,Correct_Rejections_Shape_3,S106
3.994,3,F3,35,Correct_Rejections_Shape_3,S106
0.931,4,F7,35,Correct_Rejections_Shape_3,S106
2.771,5,FC5,35,Correct_Rejections_Shape_3,S106
4.507,6,FC1,35,Correct_Rejections_Shape_3,S106
3.766,7,C3,35,Correct_Rejections_Shape_3,S106
-0.533,8,T7,35,Correct_Rejections_Shape_3,S106
4.056,9,CP5,35,Correct_Rejections_Shape_3,S106
6.517,10,CP1,35,Correct_Rejections_Shape_3,S106
9.590,11,Pz,35,Correct_Rejections_Shape_3,S106
8.521,12,P3,35,Correct_Rejections_Shape_3,S106
3.959,13,P7,35,Correct_Rejections_Shape_3,S106
7.141,14,O1,35,Correct_Rejections_Shape_3,S106
9.909,15,O2,35,Correct_Rejections_Shape_3,S106
8.202,16,P4,35,Correct_Rejections_Shape_3,S106
3.109,17,P8,35,Correct_Rejections_Shape_3,S106
3.148,18,CP6,35,Correct_Rejections_Shape_3,S106
6.898,19,CP2,35,Correct_Rejections_Shape_3,S106
5.982,20,CZ,35,Correct_Rejections_Shape_3,S106
4.965,21,C4,35,Correct_Rejections_Shape_3,S106
-0.900,22,T8,35,Correct_Rejections_Shape_3,S106
1.454,23,FC6,35,Correct_Rejections_Shape_3,S106
4.740,24,FC2,35,Correct_Rejections_Shape_3,S106
2.198,25,F4,35,Correct_Rejections_Shape_3,S106
0.231,26,F8,35,Correct_Rejections_Shape_3,S106
-0.301,27,FP2,35,Correct_Rejections_Shape_3,S106
-5.695,1,FP1,36,False_Alarms_Shape_3,S106
1.069,2,Fz,36,False_Alarms_Shape_3,S106
0.156,3,F3,36,False_Alarms_Shape_3,S106
-2.716,4,F7,36,False_Alarms_Shape_3,S106
-1.841,5,FC5,36,False_Alarms_Shape_3,S106
1.621,6,FC1,36,False_Alarms_Shape_3,S106
-1.626,7,C3,36,False_Alarms_Shape_3,S106
-3.735,8,T7,36,False_Alarms_Shape_3,S106
-0.424,9,CP5,36,False_Alarms_Shape_3,S106
1.706,10,CP1,36,False_Alarms_Shape_3,S106
3.558,11,Pz,36,False_Alarms_Shape_3,S106
3.297,12,P3,36,False_Alarms_Shape_3,S106
-0.972,13,P7,36,False_Alarms_Shape_3,S106
1.832,14,O1,36,False_Alarms_Shape_3,S106
4.742,15,O2,36,False_Alarms_Shape_3,S106
5.000,16,P4,36,False_Alarms_Shape_3,S106
1.226,17,P8,36,False_Alarms_Shape_3,S106
0.783,18,CP6,36,False_Alarms_Shape_3,S106
2.950,19,CP2,36,False_Alarms_Shape_3,S106
1.644,20,CZ,36,False_Alarms_Shape_3,S106
2.086,21,C4,36,False_Alarms_Shape_3,S106
-1.383,22,T8,36,False_Alarms_Shape_3,S106
-0.703,23,FC6,36,False_Alarms_Shape_3,S106
1.036,24,FC2,36,False_Alarms_Shape_3,S106
-3.576,25,F4,36,False_Alarms_Shape_3,S106
-2.616,26,F8,36,False_Alarms_Shape_3,S106
-7.008,27,FP2,36,False_Alarms_Shape_3,S106
-4.166,1,FP1,37,Hits,S106
-2.142,2,Fz,37,Hits,S106
-2.171,3,F3,37,Hits,S106
-2.953,4,F7,37,Hits,S106
-1.952,5,FC5,37,Hits,S106
-1.185,6,FC1,37,Hits,S106
-0.849,7,C3,37,Hits,S106
-2.400,8,T7,37,Hits,S106
0.004,9,CP5,37,Hits,S106
0.945,10,CP1,37,Hits,S106
3.793,11,Pz,37,Hits,S106
3.923,12,P3,37,Hits,S106
1.965,13,P7,37,Hits,S106
6.426,14,O1,37,Hits,S106
7.646,15,O2,37,Hits,S106
3.710,16,P4,37,Hits,S106
0.991,17,P8,37,Hits,S106
-0.430,18,CP6,37,Hits,S106
1.517,19,CP2,37,Hits,S106
-0.345,20,CZ,37,Hits,S106
0.051,21,C4,37,Hits,S106
-2.242,22,T8,37,Hits,S106
-2.192,23,FC6,37,Hits,S106
-0.916,24,FC2,37,Hits,S106
-2.919,25,F4,37,Hits,S106
-3.396,26,F8,37,Hits,S106
-4.275,27,FP2,37,Hits,S106
-5.503,1,FP1,38,Misses,S106
-4.234,2,Fz,38,Misses,S106
-4.046,3,F3,38,Misses,S106
-3.419,4,F7,38,Misses,S106
-3.384,5,FC5,38,Misses,S106
-3.784,6,FC1,38,Misses,S106
-3.143,7,C3,38,Misses,S106
-3.533,8,T7,38,Misses,S106
-1.900,9,CP5,38,Misses,S106
-1.758,10,CP1,38,Misses,S106
0.961,11,Pz,38,Misses,S106
1.335,12,P3,38,Misses,S106
0.905,13,P7,38,Misses,S106
4.136,14,O1,38,Misses,S106
6.120,15,O2,38,Misses,S106
1.605,16,P4,38,Misses,S106
1.231,17,P8,38,Misses,S106
-2.135,18,CP6,38,Misses,S106
-1.255,19,CP2,38,Misses,S106
-3.584,20,CZ,38,Misses,S106
-2.693,21,C4,38,Misses,S106
-3.049,22,T8,38,Misses,S106
-3.650,23,FC6,38,Misses,S106
-3.516,24,FC2,38,Misses,S106
-4.055,25,F4,38,Misses,S106
-3.968,26,F8,38,Misses,S106
-5.142,27,FP2,38,Misses,S106
-0.472,1,FP1,39,Correct_Rejections,S106
2.665,2,Fz,39,Correct_Rejections,S106
