       value	     chindex	     chlabel	        bini	                     binlabel	         ERPset
      -2.553	          26	          F8	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -2.889	          27	         FP2	          36	         False_Alarms_Shape_3	S137_vsl_dprime
      -6.569	           1	         FP1	          37	                         Hits	S137_vsl_dprime
      -7.926	           2	          Fz	          37	                         Hits	S137_vsl_dprime
      -7.951	           3	          F3	          37	                         Hits	S137_vsl_dprime
      -3.925	           4	          F7	          37	                         Hits	S137_vsl_dprime
      -5.844	           5	         FC5	          37	                         Hits	S137_vsl_dprime
      -7.359	           6	         FC1	          37	                         Hits	S137_vsl_dprime
      -5.971	           7	          C3	          37	                         Hits	S137_vsl_dprime
      -3.754	           8	          T7	          37	                         Hits	S137_vsl_dprime
      -4.119	           9	         CP5	          37	                         Hits	S137_vsl_dprime
      -6.039	          10	         CP1	          37	                         Hits	S137_vsl_dprime
      -5.112	          11	          Pz	          37	                         Hits	S137_vsl_dprime
      -3.591	          12	          P3	          37	                         Hits	S137_vsl_dprime
      -0.239	          13	          P7	          37	                         Hits	S137_vsl_dprime
       1.613	          14	          O1	          37	                         Hits	S137_vsl_dprime
      -0.908	          15	          O2	          37	                         Hits	S137_vsl_dprime
      -3.769	          16	          P4	          37	                         Hits	S137_vsl_dprime
      -1.947	          17	          P8	          37	                         Hits	S137_vsl_dprime
      -3.799	          18	         CP6	          37	                         Hits	S137_vsl_dprime
      -6.586	          19	         CP2	          37	                         Hits	S137_vsl_dprime
      -7.446	          20	          CZ	          37	                         Hits	S137_vsl_dprime
      -6.069	          21	          C4	          37	                         Hits	S137_vsl_dprime
      -4.012	          22	          T8	          37	                         Hits	S137_vsl_dprime
      -4.576	          23	         FC6	          37	                         Hits	S137_vsl_dprime
      -7.511	          24	         FC2	          37	                         Hits	S137_vsl_dprime
      -6.268	          25	          F4	          37	                         Hits	S137_vsl_dprime
      -3.819	          26	          F8	          37	                         Hits	S137_vsl_dprime
      -6.073	          27	         FP2	          37	                         Hits	S137_vsl_dprime
      -4.856	           1	         FP1	          38	                       Misses	S137_vsl_dprime
      -5.416	           2	          Fz	          38	                       Misses	S137_vsl_dprime
      -5.896	           3	          F3	          38	                       Misses	S137_vsl_dprime
      -3.676	           4	          F7	          38	                       Misses	S137_vsl_dprime
      -4.098	           5	         FC5	          38	                       Misses	S137_vsl_dprime
      -7.021	           6	         FC1	          38	                       Misses	S137_vsl_dprime
      -6.049	           7	          C3	          38	                       Misses	S137_vsl_dprime
      -2.508	           8	          T7	          38	                       Misses	S137_vsl_dprime
      -2.294	           9	         CP5	          38	                       Misses	S137_vsl_dprime
      -5.091	          10	         CP1	          38	                       Misses	S137_vsl_dprime
      -4.125	          11	          Pz	          38	                       Misses	S137_vsl_dprime
      -2.365	          12	          P3	          38	                       Misses	S137_vsl_dprime
       0.953	          13	          P7	          38	                       Misses	S137_vsl_dprime
       3.547	          14	          O1	          38	                       Misses	S137_vsl_dprime
       1.625	          15	          O2	          38	                       Misses	S137_vsl_dprime
      -3.101	          16	          P4	          38	                       Misses	S137_vsl_dprime
       0.066	          17	          P8	          38	                       Misses	S137_vsl_dprime
      -3.363	          18	         CP6	          38	                       Misses	S137_vsl_dprime
      -4.828	          19	         CP2	          38	                       Misses	S137_vsl_dprime
      -6.449	          20	          CZ	          38	                       Misses	S137_vsl_dprime
      -5.101	          21	          C4	          38	                       Misses	S137_vsl_dprime
      -3.026	          22	          T8	          38	                       Misses	S137_vsl_dprime
      -4.557	          23	         FC6	          38	                       Misses	S137_vsl_dprime
      -6.389	          24	         FC2	          38	                       Misses	S137_vsl_dprime
      -5.812	          25	          F4	          38	                       Misses	S137_vsl_dprime
      -4.726	          26	          F8	          38	                       Misses	S137_vsl_dprime
      -5.636	          27	         FP2	          38	                       Misses	S137_vsl_dprime
      -3.332	           1	         FP1	          39	           Correct_Rejections	S137_vsl_dprime
      -4.364	           2	          Fz	          39	           Correct_Rejections	S137_vsl_dprime
      -3.565	           3	          F3	          39	           Correct_Rejections	S137_vsl_dprime
      -2.478	           4	          F7	          39	           Correct_Rejections	S137_vsl_dprime
      -1.890	           5	         FC5	          39	           Correct_Rejections	S137_vsl_dprime
      -3.347	           6	         FC1	          39	           Correct_Rejections	S137_vsl_dprime
      -2.582	           7	          C3	          39	           Correct_Rejections	S137_vsl_dprime
      -0.835	           8	          T7	          39	           Correct_Rejections	S137_vsl_dprime
       0.956	           9	         CP5	          39	           Correct_Rejections	S137_vsl_dprime
      -2.729	          10	         CP1	          39	           Correct_Rejections	S137_vsl_dprime
      -1.945	          11	          Pz	          39	           Correct_Rejections	S137_vsl_dprime
       0.035	          12	          P3	          39	           Correct_Rejections	S137_vsl_dprime
       1.443	          13	          P7	          39	           Correct_Rejections	S137_vsl_dprime
       3.732	          14	          O1	          39	           Correct_Rejections	S137_vsl_dprime
       1.122	          15	          O2	          39	           Correct_Rejections	S137_vsl_dprime
      -2.570	          16	          P4	          39	           Correct_Rejections	S137_vsl_dprime
       0.389	          17	          P8	          39	           Correct_Rejections	S137_vsl_dprime
      -2.273	          18	         CP6	          39	           Correct_Rejections	S137_vsl_dprime
      -3.432	          19	         CP2	          39	           Correct_Rejections	S137_vsl_dprime
      -4.168	          20	          CZ	          39	           Correct_Rejections	S137_vsl_dprime
      -3.355	          21	          C4	          39	           Correct_Rejections	S137_vsl_dprime
      -2.218	          22	          T8	          39	           Correct_Rejections	S137_vsl_dprime
      -2.969	          23	         FC6	          39	           Correct_Rejections	S137_vsl_dprime
      -3.551	          24	         FC2	          39	           Correct_Rejections	S137_vsl_dprime
      -3.830	          25	          F4	          39	           Correct_Rejections	S137_vsl_dprime
      -2.941	          26	          F8	          39	           Correct_Rejections	S137_vsl_dprime
