mlabel,value,chindex,chlabel,bini,binlabel,SubjID
n400,-0.907,21,C4,2,Critical_word_large_family,S104_erp
n400,-0.250,22,T8,2,Critical_word_large_family,S104_erp
n400,-0.391,23,FC6,2,Critical_word_large_family,S104_erp
n400,-1.813,24,FC2,2,Critical_word_large_family,S104_erp
n400,-1.959,25,F4,2,Critical_word_large_family,S104_erp
n400,0.477,26,F8,2,Critical_word_large_family,S104_erp
n400,1.296,1,FP1,3,nonword_small_complex,S104_erp
n400,-4.667,2,Fz,3,nonword_small_complex,S104_erp
n400,-4.699,3,F3,3,nonword_small_complex,S104_erp
n400,0.390,4,F7,3,nonword_small_complex,S104_erp
n400,-2.267,5,FC5,3,nonword_small_complex,S104_erp
n400,-4.021,6,FC1,3,nonword_small_complex,S104_erp
n400,-2.939,7,C3,3,nonword_small_complex,S104_erp
n400,-1.554,8,T7,3,nonword_small_complex,S104_erp
n400,-3.377,9,CP5,3,nonword_small_complex,S104_erp
n400,-0.877,10,CP1,3,nonword_small_complex,S104_erp
n400,-0.327,11,Pz,3,nonword_small_complex,S104_erp
n400,-2.196,12,P3,3,nonword_small_complex,S104_erp
n400,-4.685,13,P7,3,nonword_small_complex,S104_erp
n400,-8.244,14,O1,3,nonword_small_complex,S104_erp
n400,-5.699,15,O2,3,nonword_small_complex,S104_erp
n400,-1.056,16,P4,3,nonword_small_complex,S104_erp
n400,-2.173,17,P8,3,nonword_small_complex,S104_erp
n400,-2.510,18,CP6,3,nonword_small_complex,S104_erp
n400,-1.926,19,CP2,3,nonword_small_complex,S104_erp
n400,-2.992,20,CZ,3,nonword_small_complex,S104_erp
n400,-3.957,21,C4,3,nonword_small_complex,S104_erp
n400,-2.427,22,T8,3,nonword_small_complex,S104_erp
n400,-2.924,23,FC6,3,nonword_small_complex,S104_erp
n400,-3.974,24,FC2,3,nonword_small_complex,S104_erp
n400,-3.935,25,F4,3,nonword_small_complex,S104_erp
n400,-1.570,26,F8,3,nonword_small_complex,S104_erp
n400,-2.373,1,FP1,4,nonword_large_complex,S104_erp
n400,-4.882,2,Fz,4,nonword_large_complex,S104_erp
n400,-4.360,3,F3,4,nonword_large_complex,S104_erp
n400,0.631,4,F7,4,nonword_large_complex,S104_erp
n400,-1.099,5,FC5,4,nonword_large_complex,S104_erp
n400,-5.071,6,FC1,4,nonword_large_complex,S104_erp
n400,-2.944,7,C3,4,nonword_large_complex,S104_erp
n400,0.278,8,T7,4,nonword_large_complex,S104_erp
n400,-2.013,9,CP5,4,nonword_large_complex,S104_erp
n400,-2.407,10,CP1,4,nonword_large_complex,S104_erp
n400,-2.218,11,Pz,4,nonword_large_complex,S104_erp
n400,-2.307,12,P3,4,nonword_large_complex,S104_erp
n400,-2.913,13,P7,4,nonword_large_complex,S104_erp
n400,-8.436,14,O1,4,nonword_large_complex,S104_erp
n400,-6.490,15,O2,4,nonword_large_complex,S104_erp
n400,-2.293,16,P4,4,nonword_large_complex,S104_erp
n400,-3.184,17,P8,4,nonword_large_complex,S104_erp
n400,-4.515,18,CP6,4,nonword_large_complex,S104_erp
n400,-3.726,19,CP2,4,nonword_large_complex,S104_erp
n400,-5.114,20,CZ,4,nonword_large_complex,S104_erp
n400,-4.227,21,C4,4,nonword_large_complex,S104_erp
n400,-3.483,22,T8,4,nonword_large_complex,S104_erp
n400,-3.135,23,FC6,4,nonword_large_complex,S104_erp
n400,-4.799,24,FC2,4,nonword_large_complex,S104_erp
n400,-3.594,25,F4,4,nonword_large_complex,S104_erp
n400,-1.658,26,F8,4,nonword_large_complex,S104_erp
n400,0.564,1,FP1,5,nonword_small_simple,S104_erp
n400,-4.314,2,Fz,5,nonword_small_simple,S104_erp
n400,-3.397,3,F3,5,nonword_small_simple,S104_erp
n400,0.008,4,F7,5,nonword_small_simple,S104_erp
n400,-0.778,5,FC5,5,nonword_small_simple,S104_erp
n400,-3.275,6,FC1,5,nonword_small_simple,S104_erp
n400,-1.810,7,C3,5,nonword_small_simple,S104_erp
n400,-1.154,8,T7,5,nonword_small_simple,S104_erp
n400,-2.219,9,CP5,5,nonword_small_simple,S104_erp
n400,0.122,10,CP1,5,nonword_small_simple,S104_erp
n400,0.893,11,Pz,5,nonword_small_simple,S104_erp
n400,-1.494,12,P3,5,nonword_small_simple,S104_erp
n400,-3.864,13,P7,5,nonword_small_simple,S104_erp
n400,-7.764,14,O1,5,nonword_small_simple,S104_erp
n400,-5.720,15,O2,5,nonword_small_simple,S104_erp
n400,-1.389,16,P4,5,nonword_small_simple,S104_erp
n400,-4.066,17,P8,5,nonword_small_simple,S104_erp
n400,-4.164,18,CP6,5,nonword_small_simple,S104_erp
n400,-1.210,19,CP2,5,nonword_small_simple,S104_erp
n400,-2.661,20,CZ,5,nonword_small_simple,S104_erp
n400,-3.887,21,C4,5,nonword_small_simple,S104_erp
n400,-3.760,22,T8,5,nonword_small_simple,S104_erp
n400,-3.751,23,FC6,5,nonword_small_simple,S104_erp
n400,-3.571,24,FC2,5,nonword_small_simple,S104_erp
n400,-4.257,25,F4,5,nonword_small_simple,S104_erp
n400,-2.770,26,F8,5,nonword_small_simple,S104_erp
n400,1.121,1,FP1,6,nonword_large_simple,S104_erp
n400,-6.207,2,Fz,6,nonword_large_simple,S104_erp
n400,-6.393,3,F3,6,nonword_large_simple,S104_erp
n400,-1.905,4,F7,6,nonword_large_simple,S104_erp
n400,-3.969,5,FC5,6,nonword_large_simple,S104_erp
n400,-4.986,6,FC1,6,nonword_large_simple,S104_erp
n400,-4.322,7,C3,6,nonword_large_simple,S104_erp
n400,-3.505,8,T7,6,nonword_large_simple,S104_erp
n400,-4.909,9,CP5,6,nonword_large_simple,S104_erp
n400,-1.782,10,CP1,6,nonword_large_simple,S104_erp
n400,-0.830,11,Pz,6,nonword_large_simple,S104_erp
n400,-3.914,12,P3,6,nonword_large_simple,S104_erp
n400,-6.444,13,P7,6,nonword_large_simple,S104_erp
n400,-10.389,14,O1,6,nonword_large_simple,S104_erp
n400,-6.024,15,O2,6,nonword_large_simple,S104_erp
n400,-1.826,16,P4,6,nonword_large_simple,S104_erp
n400,-2.327,17,P8,6,nonword_large_simple,S104_erp
